price,predicted_price,difference,link,source
650000.0,281996.4363255633,368003.5636744367,https://www.99.co/singapore/sale/property/336-jurong-east-avenue-1-hdb-xoxBSY5gqQVoDASbGFy7QE?enquiry_position=3198&enquiry_source=Search,Co 99
999000.0,632158.77251824,366841.22748175997,https://www.propertyguru.com.sg/listing/hdb-for-sale-64-jalan-ma-mor-22139206,Property Guru
1150000.0,787186.2197177078,362813.78028229217,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22713267,Property Guru
860000.0,502312.7618896534,357687.2381103466,https://www.propertyguru.com.sg/listing/hdb-for-sale-61-jalan-tenteram-22071964,Property Guru
1200000.0,843177.1606945496,356822.83930545044,https://www.99.co/singapore/sale/property/90-dawson-road-hdb-DComEaie4M2Z74jZNvt4vY?enquiry_position=537&enquiry_source=Search,Co 99
950000.0,593988.2915853492,356011.70841465076,https://www.propertyguru.com.sg/listing/hdb-for-sale-82-tiong-poh-road-22230622,Property Guru
1250000.0,894384.1355692938,355615.86443070625,https://www.propertyguru.com.sg/listing/hdb-for-sale-93-dawson-road-22955307,Property Guru
1250000.0,894384.1355692938,355615.86443070625,https://www.propertyguru.com.sg/listing/hdb-for-sale-93-dawson-road-22956679,Property Guru
1250000.0,894384.1355692938,355615.86443070625,https://www.propertyguru.com.sg/listing/hdb-for-sale-93-dawson-road-22959319,Property Guru
1250000.0,894384.1355692938,355615.86443070625,https://www.propertyguru.com.sg/listing/hdb-for-sale-93-dawson-road-22953677,Property Guru
1250000.0,894384.1355692938,355615.86443070625,https://www.propertyguru.com.sg/listing/hdb-for-sale-93-dawson-road-22985400,Property Guru
1250000.0,894384.1355692938,355615.86443070625,https://www.propertyguru.com.sg/listing/hdb-for-sale-93-dawson-road-22954232,Property Guru
1250000.0,894384.1355692938,355615.86443070625,https://www.propertyguru.com.sg/listing/hdb-for-sale-93-dawson-road-22955573,Property Guru
1250000.0,894384.1355692938,355615.86443070625,https://www.propertyguru.com.sg/listing/hdb-for-sale-93-dawson-road-22928911,Property Guru
1250000.0,894384.1355692938,355615.86443070625,https://www.propertyguru.com.sg/listing/hdb-for-sale-93-dawson-road-23001546,Property Guru
1250000.0,894384.1355692938,355615.86443070625,https://www.propertyguru.com.sg/listing/hdb-for-sale-93-dawson-road-22998536,Property Guru
950000.0,595582.5248788394,354417.4751211606,https://www.99.co/singapore/sale/property/82-tiong-poh-road-hdb-ikJt6LwZeMbGuaMkiKR7XR?enquiry_position=6373&enquiry_source=Search,Co 99
980000.0,630057.4786240837,349942.5213759163,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22798432,Property Guru
899999.0,550733.5741399466,349265.4258600534,https://www.propertyguru.com.sg/listing/hdb-for-sale-530d-pasir-ris-drive-1-22857957,Property Guru
750000.0,401008.0286916662,348991.9713083338,https://www.99.co/singapore/sale/property/108-jalan-rajah-hdb-RFtqhNPpS7ydpAqdAi4R8M?enquiry_position=6936&enquiry_source=Search,Co 99
