address,link,price,bedrooms,bathrooms,floor_area,year_built,date_scraped
308B Punggol Walk,https://www.99.co/singapore/sale/property/308b-punggol-walk-hdb-sVdoNngiKb4PmgJGFkSBkC?enquiry_position=87&enquiry_source=Search,"$650,000",3,2,111.94,,2020-07-18 17:01:43.228176
299A Tampines Street 22,https://www.99.co/singapore/sale/property/299a-tampines-street-22-hdb-SpfzuzdxkVfnT86hcBjaZ5?enquiry_position=88&enquiry_source=Search,"$375,000",2,2,64.93,2012,2020-07-18 17:01:43.228176
890A Tampines Avenue 1,https://www.99.co/singapore/sale/property/890a-tampines-avenue-1-hdb-BYoQVCRk4s2i5de9bVAXU9?enquiry_position=89&enquiry_source=Search,"$535,000",3,2,92.99,,2020-07-18 17:01:43.228176
9 Boon Keng Road,https://www.99.co/singapore/sale/property/9-boon-keng-road-hdb-A4ass6A52ijz9TLACwcsdn?enquiry_position=90&enquiry_source=Search,"$950,000",3,2,106.93,2011,2020-07-18 17:01:43.228176
633A Senja Road,https://www.99.co/singapore/sale/property/633a-senja-road-hdb-yX5rVWoYz6oXXndWzgG58i?enquiry_position=91&enquiry_source=Search,"$338,000",2,2,66.89,2013,2020-07-18 17:01:43.228176
504C Yishun Street 51,https://www.99.co/singapore/sale/property/504c-yishun-street-51-hdb-S7rrPnrEYRyEpdCy8PHwBb?enquiry_position=92&enquiry_source=Search,"$530,000",3,2,112.04,,2020-07-18 17:01:43.228176
107 Bishan Street 12,https://www.99.co/singapore/sale/property/107-bishan-street-12-hdb-cBqmRrm2QEdRBWyqoFMvGV?enquiry_position=93&enquiry_source=Search,"$680,000",3,2,103.95,1985,2020-07-18 17:01:43.228176
550A Segar Road,https://www.99.co/singapore/sale/property/550a-segar-road-hdb-DSFsL8Jnwt2DBYzEdNz9vK?enquiry_position=94&enquiry_source=Search,"$430,000",3,2,89.93,,2020-07-18 17:01:43.228176
245 Tampines Street 21,https://www.99.co/singapore/sale/property/245-tampines-street-21-hdb-zU6SVNaoyhTFRQtMHo7bpi?enquiry_position=95&enquiry_source=Search,"$750,000",3,3,150.03,1984,2020-07-18 17:01:43.228176
365 Yishun Ring Road,https://www.99.co/singapore/sale/property/365-yishun-ring-road-hdb-UHCcUAJo3HmqpwuMamPwK4?enquiry_position=96&enquiry_source=Search,"$295,000",2,2,73.85,1989,2020-07-18 17:01:43.228176
307D Anchorvale Road,https://www.99.co/singapore/sale/property/307d-anchorvale-road-hdb-nLHs5bCxxhE5u4BGvjQzdj?enquiry_position=97&enquiry_source=Search,"$440,000",3,2,109.99,2001,2020-07-18 17:01:43.228176
570 Ang Mo Kio Avenue 3,https://www.99.co/singapore/sale/property/570-ang-mo-kio-avenue-3-hdb-RujEQ5nuShVyKZLJHkbGA7?enquiry_position=98&enquiry_source=Search,"$350,000",2,2,66.98,1979,2020-07-18 17:01:43.228176
41 Sims Drive,https://www.99.co/singapore/sale/property/41-sims-drive-hdb-2H8uxCykggySTmtrCNAZeS?enquiry_position=100&enquiry_source=Search,"$320,000",3,2,65.96,1981,2020-07-18 17:01:43.228176
475A Upper Serangoon Crescent,https://www.99.co/singapore/sale/property/475a-upper-serangoon-crescent-hdb-wiabmxB3WWaPhjDUn6DDd5?enquiry_position=101&enquiry_source=Search,"$698,000",4,2,111.94,,2020-07-18 17:01:43.228176
451A Sengkang West Way,https://www.99.co/singapore/sale/property/451a-sengkang-west-way-hdb-okqaPwaM4qyDXXJQjXKoa?enquiry_position=102&enquiry_source=Search,"$420,000",3,2,91.97,2015,2020-07-18 17:01:43.228176
408 Tampines Street 41,https://www.99.co/singapore/sale/property/408-tampines-street-41-hdb-UzsxszdJLceijcm3csjitU?enquiry_position=103&enquiry_source=Search,"$345,000",2,2,68.93,1985,2020-07-18 17:01:43.228176
666A Punggol Drive,https://www.99.co/singapore/sale/property/666a-punggol-drive-hdb-d5dwQazDQ4T7eAF5iMz3qm?enquiry_position=104&enquiry_source=Search,"$675,000",3,2,112.97,,2020-07-18 17:01:43.228176
230 Hougang Avenue 1,https://www.99.co/singapore/sale/property/230-hougang-avenue-1-hdb-jKHeS4rW4pSRE934H9Nr96?enquiry_position=105&enquiry_source=Search,"$775,000",3,3,140.00,1984,2020-07-18 17:01:43.228176
