No of bedrooms,No of bathrooms,floor_area_sqm,remaining_lease,LAT,LON,distance_to_primary_school,distance_to_seconday_school,distance_to_junior_college,distance_to_polytechnic,distance_to_mrt_lrt,distance_to_preschool,price,link
3.0,1,83.98,53,1.289285559,103.8034015,0.8976675359255549,1.158858063567022,2.5475647589315837,3.141493518183234,0.6228075521415821,0.46619099823831023,409000.0,https://www.99.co/singapore/sale/property/168a-queensway-hdb-YT2gAchsCMfkeY5urJcKZE?enquiry_position=84&enquiry_source=Search
3.0,2,112.97,94,1.3712796930000002,103.9477149,0.49278841810533947,0.49524147307984895,1.2825346460130638,3.2341956541128276,0.2581282303457464,0.2129617755422114,640000.0,https://www.99.co/singapore/sale/property/524a-pasir-ris-street-51-hdb-ebhCDASURPYfRPpFj5G7tH?enquiry_position=85&enquiry_source=Search
2.0,1,65.03,53,1.309344983,103.7955594,1.1677427572547978,1.2009642251065948,1.1255380701732334,1.4641085384025536,0.3352043680496324,0.10386696938015255,418000.0,https://www.99.co/singapore/sale/property/2-holland-avenue-hdb-KqLW3PzuncyVuWh5CQ5gCC?enquiry_position=86&enquiry_source=Search
2.0,2,64.93,91,1.3500052969999998,103.9539382,0.2980381903537653,0.5796009539009405,3.4865629830078193,2.170269215237569,0.6922132513043032,0.17678974096091726,375000.0,https://www.99.co/singapore/sale/property/299a-tampines-street-22-hdb-SpfzuzdxkVfnT86hcBjaZ5?enquiry_position=88&enquiry_source=Search
3.0,2,106.93,90,1.316051181,103.8612187,0.8245075696066948,0.9522215362539972,1.8780667520643168,6.903707638139005,0.32892206756081577,0.5530540959090631,950000.0,https://www.99.co/singapore/sale/property/9-boon-keng-road-hdb-A4ass6A52ijz9TLACwcsdn?enquiry_position=90&enquiry_source=Search
2.0,2,66.89,92,1.385586407,103.7583408,0.2936951807955623,0.31805057157567473,0.5019005639514645,5.898075806426965,0.5470434414655101,0.03939323058470374,338000.0,https://www.99.co/singapore/sale/property/633a-senja-road-hdb-yX5rVWoYz6oXXndWzgG58i?enquiry_position=91&enquiry_source=Search
3.0,2,103.95,64,1.3464176140000002,103.8479207,0.15726197744167408,0.35080870881509335,0.7064816149078748,3.4084128500988533,0.47713510794874203,0.4269916995596569,680000.0,https://www.99.co/singapore/sale/property/107-bishan-street-12-hdb-cBqmRrm2QEdRBWyqoFMvGV?enquiry_position=93&enquiry_source=Search
3.0,3,150.03,63,1.353208409,103.9464898,0.4435517354809594,0.2848146414626167,2.7990286052724955,1.5597119658660166,0.12371164298046965,0.3644654546222085,750000.0,https://www.99.co/singapore/sale/property/245-tampines-street-21-hdb-zU6SVNaoyhTFRQtMHo7bpi?enquiry_position=95&enquiry_source=Search
2.0,2,73.85,68,1.429247793,103.8451922,0.18779360222567232,0.8811351913906774,1.8043872833214307,5.09490891912969,1.1267057496072765,0.03906800647822188,295000.0,https://www.99.co/singapore/sale/property/365-yishun-ring-road-hdb-UHCcUAJo3HmqpwuMamPwK4?enquiry_position=96&enquiry_source=Search
3.0,2,109.99,80,1.390298901,103.8864893,0.09433860761305145,0.45853441864470007,4.687853232018698,4.163332095875519,0.12776654984474306,0.4653975196754193,440000.0,https://www.99.co/singapore/sale/property/307d-anchorvale-road-hdb-nLHs5bCxxhE5u4BGvjQzdj?enquiry_position=97&enquiry_source=Search
2.0,2,66.98,58,1.369743586,103.8560231,0.5256783112294476,0.5266872406225492,1.4817694977001736,1.0468235460444815,0.7189754511220671,0.3031166934638349,350000.0,https://www.99.co/singapore/sale/property/570-ang-mo-kio-avenue-3-hdb-RujEQ5nuShVyKZLJHkbGA7?enquiry_position=98&enquiry_source=Search
3.0,2,65.96,60,1.316855329,103.8755513,1.2761893803712916,1.6155925542074354,2.222468731677212,6.806887026305886,0.6596323676306978,0.45587514519728467,320000.0,https://www.99.co/singapore/sale/property/41-sims-drive-hdb-2H8uxCykggySTmtrCNAZeS?enquiry_position=100&enquiry_source=Search
3.0,2,91.97,94,1.394349194,103.8740538,0.20803521625192134,0.6703800985781854,3.546815239222139,2.9642011819288245,0.37128197751570996,0.2913753397174842,420000.0,https://www.99.co/singapore/sale/property/451a-sengkang-west-way-hdb-okqaPwaM4qyDXXJQjXKoa?enquiry_position=102&enquiry_source=Search
2.0,2,68.93,64,1.358778559,103.9452683,0.43097917152634385,0.5917742121988556,2.1737703941519437,1.899027575195623,0.47516862580812363,0.7252454063958953,345000.0,https://www.99.co/singapore/sale/property/408-tampines-street-41-hdb-UzsxszdJLceijcm3csjitU?enquiry_position=103&enquiry_source=Search
