address,link,price,bedrooms,bathrooms,floor_area,list_date,year_built,date_scraped
988C Jurong West Street 93,https://www.propertyguru.com.sg/listing/hdb-for-sale-988c-jurong-west-street-93-22601540,"450,000",3 ,2 ,1184,42m,2001,2020-07-15 17:14:41.615238
311A Clementi Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-311a-clementi-avenue-4-22235940,"798,000",3 ,2 ,882,43m,2015,2020-07-15 17:14:41.615238
282C Sengkang East Avenue,https://www.propertyguru.com.sg/listing/hdb-for-sale-282c-sengkang-east-avenue-22499142,"725,000",3 ,2 ,1205,43m,2014,2020-07-15 17:14:41.615238
310C Punggol Walk,https://www.propertyguru.com.sg/listing/hdb-for-sale-310c-punggol-walk-22852423,"568,888",3 ,2 ,990,43m,2015,2020-07-15 17:14:41.615238
835 Yishun Street 81,https://www.propertyguru.com.sg/listing/hdb-for-sale-835-yishun-street-81-22770966,"505,000",3 ,2 ,1313,45m,1987,2020-07-15 17:14:41.615238
16 Saint George's Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-16-saint-george-s-road-22803796,"450,000",3 ,2 ,1012,45m,1984,2020-07-15 17:14:41.615238
442C Fajar Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-442c-fajar-road-22995161,"485,000",3 ,2 ,1001,46m,2015,2020-07-15 17:14:41.615238
315B Punggol Way,https://www.propertyguru.com.sg/listing/hdb-for-sale-315b-punggol-way-22980586,"488,000",3 ,2 ,1001,46m,2016,2020-07-15 17:14:41.615238
496D Tampines Avenue 9,https://www.propertyguru.com.sg/listing/hdb-for-sale-496d-tampines-avenue-9-22143107,"490,000",4 ,2 ,1356,46m,1992,2020-07-15 17:14:41.615238
181 Edgefield Plains,https://www.propertyguru.com.sg/listing/hdb-for-sale-181-edgefield-plains-22987007,"608,888",3 ,2 ,1378,46m,2002,2020-07-15 17:14:41.615238
475D Upper Serangoon Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-475d-upper-serangoon-crescent-22264332,"660,000",3 ,2 ,990,46m,2014,2020-07-15 17:14:41.615238
665B Punggol Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-665b-punggol-drive-22973253,"645,000",3 ,2 ,1216,46m,2015,2020-07-15 17:14:41.615238
274C Punggol Place,https://www.propertyguru.com.sg/listing/hdb-for-sale-274c-punggol-place-23000450,"538,000",3 ,2 ,1001,47m,2011,2020-07-15 17:14:41.615238
869 Tampines Street 83,https://www.propertyguru.com.sg/listing/hdb-for-sale-869-tampines-street-83-22850350,"580,000",3 ,2 ,1302,47m,1988,2020-07-15 17:14:41.615238
617C Punggol Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-617c-punggol-drive-22871542,"685,000",3 ,2 ,1292,47m,2011,2020-07-15 17:14:41.615238
123C Rivervale Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-123c-rivervale-drive-22994180,"420,000",3 ,2 ,1098,47m,1998,2020-07-15 17:14:41.615238
